City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Aasiaat,0,GL,1537652445,100,68.71,-52.87,33.44,8.12
Abasolo,75,MX,1537648980,42,20.45,-101.53,80.6,0.32
Acajutla,40,SV,1537649400,66,13.59,-89.83,91.4,3.6
Acapulco,75,MX,1537649340,70,16.86,-99.88,87.80000000000001,2.6
Adelaide,92,AU,1537650000,100,-34.93,138.6,48.2,1.5
Adrar,75,DZ,1537650000,33,27.87,-0.29,86.0,6.7
Agadez,48,NE,1537652453,18,16.97,7.99,93.2,3.87
Agar,92,IN,1537652454,99,23.71,76.02,71.78,4.47
Aguimes,20,ES,1537651800,73,27.91,-15.45,75.2,10.8
Ahipara,12,NZ,1537652256,92,-35.17,173.16,57.650000000000006,6.52
Airai,0,TL,1537652256,82,-8.93,125.41,59.629999999999995,0.87
Akalkot,48,IN,1537652457,78,17.53,76.22,75.02,3.27
Aklavik,75,CA,1537650000,86,68.22,-135.01,39.2,4.6
Aksu,90,KZ,1537650000,93,52.04,76.93,51.8,5.0
Akureyri,75,IS,1537650000,80,65.68,-18.09,35.6,2.6
Albany,75,US,1537649640,52,42.65,-73.75,64.94,2.1
Alexandria,90,US,1537650900,90,31.31,-92.44,77.9,3.22
Alofi,56,NU,1537650000,74,-19.06,-169.92,80.6,5.1
Alpinopolis,0,BR,1537652260,54,-20.86,-46.39,77.81,1.37
Alta Floresta,24,BR,1537652472,69,-9.87,-56.08,83.03,0.42
Altoona,1,US,1537650900,77,40.52,-78.39,59.0,1.42
Alyangula,0,AU,1537652475,100,-13.85,136.42,74.75,2.72
Amahai,24,ID,1537652476,100,-3.31,129.0,80.50999999999999,3.87
Amapa,75,HN,1537650000,70,15.09,-87.97,87.80000000000001,7.2
Amargosa,0,BR,1537652479,64,-13.03,-39.6,75.83000000000001,4.27
Ambilobe,36,MG,1537652260,74,-13.19,49.05,69.44,2.67
Ambon,90,FR,1537651800,100,47.55,-2.56,66.2,8.2
Ancud,92,CL,1537652283,95,-41.87,-73.83,48.379999999999995,4.22
Antofagasta,20,CL,1537650000,77,-23.65,-70.4,60.8,7.2
Aquiraz,0,BR,1537650000,74,-3.9,-38.39,80.6,3.6
Araouane,0,ML,1537652489,30,18.9,-3.53,84.47,1.22
Aripuana,32,BR,1537652491,60,-9.17,-60.63,88.88,0.87
Arraial do Cabo,20,BR,1537650000,78,-22.97,-42.02,75.2,1.5
Astoria,90,US,1537649700,80,46.19,-123.83,62.06,5.1
Aswan,0,EG,1537652503,30,24.09,32.9,83.84,5.27
Atasu,8,KZ,1537652322,88,48.68,71.64,44.06,4.47
Ati,0,TD,1537652506,64,13.21,18.34,79.61,1.17
Austin,90,US,1537650900,78,30.27,-97.74,80.06,4.6
Avarua,75,CK,1537650000,88,-21.21,-159.78,69.80000000000001,6.2
Awjilah,0,LY,1537652620,45,29.14,21.3,77.18,3.42
Ayan,0,TR,1537652349,81,40.67,33.6,42.620000000000005,0.97
Aykhal,0,RU,1537652623,80,65.95,111.51,32.36,1.67
Azatavan,36,AM,1537650000,82,39.98,44.51,55.400000000000006,1.02
Balkanabat,24,TM,1537652358,77,39.51,54.36,54.14,1.07
Bam,0,IR,1537652647,45,29.11,58.36,60.26,1.82
Bambanglipuro,44,ID,1537652359,97,-7.95,110.28,65.21000000000001,1.07
Bambous Virieux,75,MU,1537650000,69,-20.34,57.76,75.2,6.2
Banamba,56,ML,1537652653,54,13.55,-7.45,84.02,2.42
Bandarbeyla,0,SO,1537652361,98,9.49,50.81,77.63,6.82
Bang Saphan,76,TH,1537652653,98,11.21,99.51,77.45,0.52
Bara,44,NG,1537652654,97,10.41,10.6,70.34,4.37
Barcelona,0,ES,1537651800,83,41.38,2.18,77.0,0.5
Barranco,0,BR,1537652655,63,-20.59,-41.2,72.32,2.87
Barrow,0,AR,1537652388,43,-38.31,-60.23,69.98,6.62
Batagay-Alyta,44,RU,1537652655,58,67.8,130.41,11.659999999999997,1.82
Batetskiy,76,RU,1537652386,72,58.65,30.3,54.5,4.22
Bathsheba,40,BB,1537650000,70,13.22,-59.52,84.2,6.2
Belaya Gora,88,RU,1537652397,98,68.54,146.19,33.44,1.77
Belmonte,12,PT,1537652656,69,40.36,-7.35,63.05,1.62
Benghazi,0,LY,1537652656,99,32.12,20.07,79.34,4.87
Berdsk,0,RU,1537650000,58,54.76,83.11,55.400000000000006,4.0
Bethel,90,US,1537652040,92,60.79,-161.76,50.0,9.8
Bichura,0,RU,1537652680,75,50.59,107.6,24.89,1.22
Bilibino,92,RU,1537652699,91,68.06,166.44,37.13,1.07
Bima,36,ID,1537652720,100,-8.45,118.73,73.94,1.52
Bintulu,75,MY,1537650000,100,3.17,113.03,77.0,1.0
Birin,0,SY,1537652403,81,35.01,36.67,60.08,2.52
Bitung,20,ID,1537651800,94,1.44,125.19,73.4,6.02
Bluff,0,AU,1537652403,77,-23.58,149.07,59.18,1.97
Boljevac,0,RS,1537651800,45,43.83,21.96,66.2,8.7
Bolobo,76,CD,1537652729,76,-2.17,16.23,80.6,1.07
Bonavista,92,CA,1537652429,87,48.65,-53.11,58.46,13.77
Bonthe,20,SL,1537652768,98,7.53,-12.5,76.28,1.62
Borogontsy,56,RU,1537652768,76,62.67,131.17,42.08,3.12
Bosaso,0,SO,1537652769,100,11.28,49.18,80.50999999999999,3.12
Bourail,44,NC,1537652769,68,-21.57,165.5,66.92,3.27
Bouza,0,NE,1537652769,84,14.42,6.04,74.66,1.32
Boyabat,0,TR,1537652770,85,41.47,34.77,47.03,0.82
Brazzaville,68,CD,1537652770,72,-4.27,15.27,78.80000000000001,1.32
Bredasdorp,0,ZA,1537650000,87,-34.53,20.04,48.2,2.6
Broken Hill,0,AU,1537652771,88,-31.97,141.45,49.64,4.32
Broome,100,GB,1537651260,87,52.47,1.45,51.8,0.5
Buala,32,SB,1537652772,92,-8.15,159.59,81.68,2.87
Bugo,0,ID,1537652772,100,-6.78,110.71,76.00999999999999,2.52
Bulaevo,92,KZ,1537652773,99,54.91,70.44,50.0,4.02
Burnie,32,AU,1537652774,100,-41.05,145.91,48.74,7.42
Busselton,12,AU,1537652774,100,-33.64,115.35,54.5,3.42
Butaritari,0,KI,1537652774,100,3.07,172.79,84.83000000000001,4.02
Cabedelo,0,BR,1537650000,78,-6.97,-34.84,75.2,5.1
Cabo San Lucas,5,MX,1537649280,62,22.89,-109.91,86.0,3.6
Cairns,40,AU,1537651800,73,-16.92,145.77,71.6,5.1
Camacha,40,PT,1537651800,78,33.08,-16.33,73.4,5.7
Cantagallo,20,CO,1537650000,78,7.38,-73.91,82.4,2.1
Cap Malheureux,75,MU,1537650000,69,-19.98,57.61,75.2,6.2
Cape Canaveral,20,US,1537649760,60,28.41,-80.6,87.80000000000001,5.1
Cape Town,0,ZA,1537650000,76,-33.93,18.42,57.2,7.7
Capinopolis,92,BR,1537652779,35,-18.68,-49.57,89.06,1.47
